GVKEY,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,cshpri,dlc,dltt,dvc,lct,oibdp,pi,ppent,prstkc,pstkl,re,sale,sstk,txditc,xrd,xsga,costat,mkvalt,prcc_f,gind,gsubind,naics,sic,spcindcd,market_share,market_value,CI
7422,16277,2010/12/31,2010,INDL,C,D,STD,EXCE,EXCO RESOURCES INC,USD,520.46,3477.42,1041.971,212.465,0,1588.269,29.76,285.698,247.051,673.534,1834.461,7.479,0,-1603.696,515.226,23.024,0,,105.114,A,4140.2857,19.42,101020,10102020,211130,1311,380,0.000956188023950722,4140.2857,0.730970218097558
121934,16643,2010/12/31,2010,INDL,C,D,STD,BHP1,PETROHAWK ENERGY CORP,USD,638.037,7899.753,2706.644,300.452,21.842,3546.663,0,861.691,731.995,230.839,5753.972,0,0,-1186.372,1600.647,2.927,0,,155.493,I,5520.4425,18.25,101020,10102020,211111,1311,380,0.00297057891483087,5520.4425,0.580202482358517
1380,20064,2010/12/31,2010,INDL,C,D,STD,HES,HESS CORP,USD,8780,35396,5492,325.999,46,5537,132,7613,6036,3311,21127,0,0,13095,33862,54,2995,,2282,A,25846.1037,76.54,101020,10102020,2111,1311,385,0.0628431772989316,25846.1037,0.330306128586035
11923,20194,2010/12/31,2010,INDL,C,D,STD,APC,ANADARKO PETROLEUM CORP,USD,6675,51559,5008,495,291,12722,180,4114,5829,1641,37957,42,0,13900,10842,107,9861,,1476,I,37790.592,76.16,101020,10102020,2111,1311,380,0.0201212488416224,37790.592,0.134609181808408
1678,20204,2010/12/31,2010,INDL,C,D,STD,APA,APA CORP,USD,3480,43425,12369,352,46,8095,214,3524,8903,5206,38151,0,1265,14082,12183,3555,4249,,380,A,45592.5982,119.23,101020,10102020,2111,1311,380,0.0226099589224761,45592.5982,0.54011649905472
2052,20271,2010/09/30,2010,INDL,C,D,STD,BRN,BARNWELL INDUSTRIES,USD,34.367,89.888,5.055,8.274,13.65,12.35,0,24.806,15.88,5.062,50.626,0,0,34.389,41.851,0.059,3.864,,8.331,A,26.6023,3.214,101020,10102020,2111,1311,380,7.76696536866573e-05,26.6023,0.0967927237912877
2697,20386,2010/12/31,2010,INDL,C,D,STD,NXY,NEXEN INC,CAD,4422,21907,2602,524.7,0,5121,104,3194,3146,1126,15249,0,0,7596,5833,55,3138,,767,I,11986.0968,22.8,101020,10102020,211111,1311,380,0.0108252393002383,11986.0968,0.167957655564162
4430,20662,2010/12/31,2010,INDL,C,D,STD,EQT,EQT CORP,USD,827.94,7098.438,1246.932,144.458,59.65,1943.2,127.292,596.984,740.764,355.22,5910.091,0,0,1833.87,1322.708,537.206,1274.888,,,A,6688.0205,44.84,101020,10102020,2111,4923,710,0.0024547626648962,6688.0205,0.253713173722021
7620,21236,2010/12/31,2010,INDL,C,D,STD,MUR,MURPHY OIL CORP,USD,3550.693,14233.243,2356.372,191.83,0.041,939.35,201.405,2930.91,2825.253,1414.231,10367.847,0,0,7250.42,23401.117,42.995,1212.213,,466.402,A,14375.9238,74.55,101020,10102020,2111,1311,380,0.0434292287704224,14375.9238,0.259939230595445
8068,21322,2010/12/31,2010,INDL,C,D,STD,OXY,OCCIDENTAL PETROLEUM CORP,USD,13059,52432,3940,812.472,0,5111,1196,7825,10791,7636,36536,67,0,29344,19045,10,3445,,1633,A,79735.0914,98.1,101020,10102010,2111,1311,385,0.0353448795599242,79735.0914,0.117105067617774
14359,21366,2010/12/31,2010,INDL,C,D,STD,PXD,PIONEER NATURAL RESOURCES CO,USD,1197.183,9679.102,1195.772,115.062,0,2601.67,9.455,769.22,933.529,788.483,7847.328,14.039,0,1517.788,1803.257,7.375,1751.31,,315.309,A,10011.0406,86.82,101020,10102020,211120,1311,380,0.00334659498454136,10011.0406,0.154858925887429
8387,21368,2010/12/31,2010,INDL,C,D,STD,GDP,GOODRICH PETROLEUM CORP,USD,85.849,664.577,264.967,35.921,167.086,179.171,0,285.384,68.341,-262.205,537.743,0,82.5,-469.122,148.333,0.01,0,,40.203,A,664.5517,17.64,101020,10102020,211130,1311,380,0.000275285482791401,664.5517,0.393135445351818
8549,21401,2010/12/31,2010,INDL,C,D,STD,COP,CONOCOPHILLIPS,USD,34660,156314,9761,1479.33,1631,26970,3175,27419,23102,19750,82554,3866,0,45170,175752,133,17335,230,3160,A,97435.0965,68.1,101020,10102020,2111,1311,385,0.326171345361817,97435.0965,0.111289734117754
7017,21795,2010/12/31,2010,INDL,C,D,STD,MRO,MARATHON OIL CORP,USD,13829,50014,4762,710,295,7601,704,11113,7461,5122,32222,0,0,18910,67113,0,3569,,1861,A,26291.3,37.03,101020,10102020,2111,1311,385,0.124552423308228,26291.3,0.148251922418356
16478,22113,2010/12/31,2010,INDL,C,D,STD,EOG,EOG RESOURCES INC,USD,2527.446,21624.233,5581.382,250.876,220,5003.341,157.222,2220.099,2960.803,407.976,18680.9,11.295,0,9310.25,5852.807,34.56,3501.706,,1424.553,A,23225.1786,91.41,101020,10102020,2111,1311,380,0.0108619983461529,23225.1786,0.3458271385398
