date,region,new_BBL,retired_BBL,new_MCF,retired_MCF
2011-10-01T00:00:00Z,Permian,48780.124312,33754.785,103668.81032,90741.581
2011-11-01T00:00:00Z,Permian,49422.296826,34804.773,102839.197842,91725.639
2011-12-01T00:00:00Z,Permian,50084.548625,35830.822,100402.8362,93352.19
2012-01-01T00:00:00Z,Permian,50621.476552,36940.454,104219.557384,95365.422
2012-02-01T00:00:00Z,Permian,52762.877492,38123.367,108664.42717,97129.61
2012-03-01T00:00:00Z,Permian,54422.094348,39263.806,112844.440602,98011.518
2012-04-01T00:00:00Z,Permian,57282.2775,40450.217,121824.28,98771
2012-05-01T00:00:00Z,Permian,59914.64394,41537.016,127648.39572,99297.232
2012-06-01T00:00:00Z,Permian,63209.78055,42765.224,136126.106025,99376.251
2012-07-01T00:00:00Z,Permian,63214.433744,44065.996,134281.996156,99320.873
2012-08-01T00:00:00Z,Permian,62972.505088,45468.862,132589.195776,99265.506
2012-09-01T00:00:00Z,Permian,61597.337277,46852.351,129468.488136,99276.616
2012-10-01T00:00:00Z,Permian,60848.420928,48147.171,127681.961264,99343.954
2012-11-01T00:00:00Z,Permian,59537.60956,49465.73,124664.242516,99511.222
2012-12-01T00:00:00Z,Permian,58462.251588,50709.88,122363.800416,100183.5
2013-01-01T00:00:00Z,Permian,59780.501502,51944.291,124980.746734,102084.08
2013-02-01T00:00:00Z,Permian,63068.122571,53096.945,132196.675998,105340.92
2013-03-01T00:00:00Z,Permian,66507.837792,54032.802,140240.787736,108796.68
2013-04-01T00:00:00Z,Permian,68707.566937,54997.028,146240.597944,112567.29
2013-05-01T00:00:00Z,Permian,71320.527838,55960.486,153770.001038,115094.33
2013-06-01T00:00:00Z,Permian,74739.779244,57078.986,162988.533864,116051.34
2013-07-01T00:00:00Z,Permian,76508.074566,58298.56,167880.468756,115729.8
2013-08-01T00:00:00Z,Permian,78697.390658,59690.612,172177.947671,114954.68
2013-09-01T00:00:00Z,Permian,77980.620883,61253.811,169924.192746,114253.5
2013-10-01T00:00:00Z,Permian,78219.711474,62850.462,169864.76866,114186.37
2013-11-01T00:00:00Z,Permian,82537.067844,64559.995,178325.934864,115825.46
2013-12-01T00:00:00Z,Permian,86434.479439,66374.751,185286.149202,118990.82
2014-01-01T00:00:00Z,Permian,88429.810668,68536.539,188584.319436,123066.08
2014-02-01T00:00:00Z,Permian,91713.46605,70844.269,195900.89639,127580.28
2014-03-01T00:00:00Z,Permian,97238.404098,72777.632,209046.388057,132845.12
2014-04-01T00:00:00Z,Permian,103132.141588,74756.611,223417.658128,138472.64
2014-05-01T00:00:00Z,Permian,107416.849665,76655.997,232671.015775,142577.06
2014-06-01T00:00:00Z,Permian,110343.46785,78761.135,237073.8117,144615.83
2014-07-01T00:00:00Z,Permian,114105.101112,81030.259,242456.317228,144834.55
2014-08-01T00:00:00Z,Permian,117085.573584,83548.337,245076.664052,144280.74
2014-09-01T00:00:00Z,Permian,119923.349988,86139.638,245880.922183,144555.01
2014-10-01T00:00:00Z,Permian,120884.717629,88641.457,242149.012469,146393.42
2014-11-01T00:00:00Z,Permian,123725.74078,91147.355,242744.72533,149795.81
2014-12-01T00:00:00Z,Permian,125075.241616,93573.827,243366.266796,153879.6
2015-01-01T00:00:00Z,Permian,121928.40618,95963.808,238087.58519,158470.59
2015-02-01T00:00:00Z,Permian,103653.196875,97889.906,206937.24225,164271.47
2015-03-01T00:00:00Z,Permian,93146.552082,99172.843,189770.523048,170021.08
2015-04-01T00:00:00Z,Permian,89631.803894,100097.29,186174.064814,176006.69
2015-05-01T00:00:00Z,Permian,88812.546732,100647.38,186799.03164,180576.2
2015-06-01T00:00:00Z,Permian,96543.451312,101019.52,203733.170112,183404.14
